link,i,j,k,cost,amplitude,lower_bound,upper_bound
SR_WHI.1923-06-30_D73.1923-06-30_0,SR_WHI.1923-06-30,D73.1923-06-30,0,0.0148,1.0,11.901,1000000000000.0
SR_WHI.1923-07-31_D73.1923-07-31_0,SR_WHI.1923-07-31,D73.1923-07-31,0,0.0148,1.0,5.226,1000000000000.0
SR_WHI.1923-08-31_D73.1923-08-31_0,SR_WHI.1923-08-31,D73.1923-08-31,0,0.0148,1.0,5.226,1000000000000.0
SR_WHI.1923-09-30_D73.1923-09-30_0,SR_WHI.1923-09-30,D73.1923-09-30,0,0.0148,1.0,8.926,1000000000000.0
SR_WHI.1922-10-31_HSU101SR3.1922-10-31_0,SR_WHI.1922-10-31,HSU101SR3.1922-10-31,0,0.0,1.0,0.0,4.6
SR_WHI.1922-11-30_HSU101SR3.1922-11-30_0,SR_WHI.1922-11-30,HSU101SR3.1922-11-30,0,0.0,1.0,0.0,4.6
SR_WHI.1922-12-31_HSU101SR3.1922-12-31_0,SR_WHI.1922-12-31,HSU101SR3.1922-12-31,0,0.0,1.0,0.0,4.6
SR_WHI.1923-01-31_HSU101SR3.1923-01-31_0,SR_WHI.1923-01-31,HSU101SR3.1923-01-31,0,0.0,1.0,0.0,4.6
SR_WHI.1923-02-28_HSU101SR3.1923-02-28_0,SR_WHI.1923-02-28,HSU101SR3.1923-02-28,0,0.0,1.0,0.0,4.6
SR_WHI.1923-03-31_HSU101SR3.1923-03-31_0,SR_WHI.1923-03-31,HSU101SR3.1923-03-31,0,0.0,1.0,0.0,4.6
